Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Licking County Libertarians,Licking County Libertarians,≤100,1
Jeffrey M. Jacobson For DuPage Judge,Friends for Jeffrey M. Jacobson for Circuit Court Judge,≤100,1
Colorado Home and Insurance Report,These ads ran without a disclaimer,≤100,1
Unify Livermore,The Coalition to Unify Livermore,≤100,1
Willie Wilson,Willie Wilson for Mayor,≤100,1
Cristina McNeil for Congress,"Cristina McNeil for Congress, Susan Eastlake, Treasurer",≤100,1
Secular Coalition for America,The Secular Coalition for America,≤100,1
"ROIG Communications, LLC","ROIG Communications, LLC",≤100,1
"City of Roswell, NM Government",These ads ran without a disclaimer,≤100,1
McMahon Berger P.C.,McMahon Berger P.C.,≤100,1
Eddy County,Red Rocket Media,≤100,3
Sophisticated Basterds,These ads ran without a disclaimer,≤100,1
Green Dragon Room at Bier Station,Bier Station LLC,≤100,1
Showboatstickers,These ads ran without a disclaimer,≤100,10
Chouquette Chocolates,These ads ran without a disclaimer,≤100,1
Waterbury Republican Town Committee,The Waterbury Republican Town Committee,≤100,1
Shore Buddies,These ads ran without a disclaimer,≤100,1
Iowa Abortion Access Fund,Iowa Abortion Access Fund,≤100,1
"3,500 Friends of #AllendaleStrong",Friends of Allendale Strong,≤100,1
Geo carnero,These ads ran without a disclaimer,≤100,2
Elite Scholars STEAM Academy,These ads ran without a disclaimer,≤100,1
Shop Olympian,Shop Olympian,≤100,2
Ruhl&Ruhl REALTORS,Ruhl&Ruhl Realtors,≤100,1
Characters Imagination Station,Crystal Scott,≤100,2
American Academy of PAs,These ads ran without a disclaimer,≤100,1
Monroe Township Cultural Arts Commission,These ads ran without a disclaimer,≤100,1
TIRRC Members/Miembros de TIRRC,Tirrc Members,≤100,1
Crossroads Farmers Market,These ads ran without a disclaimer,≤100,1
David Polivy for Truckee Town Council,Polivy for Town Council 2018,≤100,1
Rob LaVigne: Allstate Insurance,These ads ran without a disclaimer,≤100,1
Syracuse Divest,Syracuse Divest,≤100,1
Simply Earth,These ads ran without a disclaimer,≤100,1
Shot Glass of History,Shot Glass of History,≤100,1
Vote McDermott,"Bob McDermott for State House, 91-982 Ololani St, Ewa Beach, HI, 96706",≤100,1
Menlo College,These ads ran without a disclaimer,≤100,1
United Parents and Students,These ads ran without a disclaimer,≤100,1
Jitney Books,"Jitney Books, LLC",≤100,1
Ánimo City of Champions Charter High School,These ads ran without a disclaimer,≤100,1
Rairdon's Chrysler Dodge Jeep Ram of Monroe,These ads ran without a disclaimer,≤100,1
Homeless For The Holidays,These ads ran without a disclaimer,≤100,1
"Peter Capofreddi, Sycophant of the Establishment",These ads ran without a disclaimer,≤100,1
Beverly Broadway for NPSB District 9,Campaign Fund for Beverly Broadway,≤100,1
Coastland Apparel,These ads ran without a disclaimer,≤100,4
Stewart "ManyLightnings" Eastman - Abita Springs Alderman Campaign,Stewart Eastman,≤100,1
Lotus Sky Jewelry,These ads ran without a disclaimer,≤100,1
Aspire Fashion,These ads ran without a disclaimer,≤100,18
The BROWN Report,Ronald Brown,≤100,1
Bro History,These ads ran without a disclaimer,≤100,1
Hengda Filter Press Inc,These ads ran without a disclaimer,≤100,3
SpringfieldICON,These ads ran without a disclaimer,≤100,1
Springfield News-Sun,Springfield News-Sun,≤100,1
M4TR - Music 4 The Revolution,M4TR - Rock To Resist By,≤100,1
Maurice A. West II,Citizens for Maurice West II,≤100,1
Smythe DuVal,DuVal for Secretary of State,≤100,1
Martin Tully for DuPage County Board - District 3,Citizens for Martin T. Tully,≤100,1
Wisconsin Rapids OnFocus,These ads ran without a disclaimer,≤100,1
Massachusetts Local News,These ads ran without a disclaimer,≤100,1
Illustrations of Art,These ads ran without a disclaimer,≤100,1
Will County Board Member Raymond Tuminello,Citizens to Elect Raymond Tuminello,≤100,1
Terre Haute Government Corruption,These ads ran without a disclaimer,≤100,1
Middlesex County NJ,These ads ran without a disclaimer,≤100,2
RecyclingWorks MA,These ads ran without a disclaimer,≤100,1
Ron Wesson for NC House,Ron Wesson for NC House,≤100,1
Solar Information,These ads ran without a disclaimer,≤100,7
Clintonville Area Progressives,Robert Shelly,≤100,1
Box it Dano,These ads ran without a disclaimer,≤100,1
Chardá Fontenot for LMSV School Board 2018,Chardá Fontent for LMSV School Board 2018,≤100,1
Tommy Jae,These ads ran without a disclaimer,≤100,1
Eau Claire County Humane Association - ECCHA,These ads ran without a disclaimer,≤100,1
Jill Schupp,"Schupp for Senate, Carl Mitchell, Treasurer",≤100,2
Chicagoland Blue Star Mothers,These ads ran without a disclaimer,≤100,1
Center for Intersectional Justice,These ads ran without a disclaimer,≤100,1
American Heart Association - Missouri,American Heart Association,≤100,1
Mary Stewart for Iowa Senate,Stewart for Senate,≤100,2
0mega Elephant,These ads ran without a disclaimer,≤100,1
HeadPinz Ft Myers,These ads ran without a disclaimer,≤100,2
Climate Change Theatre Action,Climate Change Theatre Action,≤100,1
WCS Newsroom,the Wildlife Conservation Society,≤100,1
Zak Ford,Zak Ford,≤100,1
"The Podium Awards, LLC",These ads ran without a disclaimer,≤100,1
"We Can Do More, Inc.",These ads ran without a disclaimer,≤100,1
Crftsho,These ads ran without a disclaimer,≤100,1
Nej Til kriminalisering af børn,These ads ran without a disclaimer,≤100,1
Ánimo Jackie Robinson Charter High School,These ads ran without a disclaimer,≤100,1
Richie's Flooring,These ads ran without a disclaimer,≤100,1
Jay County REMC,Jay County REMC,≤100,1
MarioMe,These ads ran without a disclaimer,≤100,1
Duke Energy,These ads ran without a disclaimer,≤100,1
NoOrdinaryLife®,These ads ran without a disclaimer,≤100,1
Delaware Local News,These ads ran without a disclaimer,≤100,1
David Aranovich,These ads ran without a disclaimer,≤100,1
Wheatland Electric,Wheatland Electric,≤100,1
"The Community Table, Eau Claire",These ads ran without a disclaimer,≤100,2
Ánimo Ralph Bunche Charter High School,These ads ran without a disclaimer,≤100,1
Africa Prosperity Project,These ads ran without a disclaimer,≤100,2
Jasper County REMC - 219-866-4601,Jasper County REMC,≤100,1
Blue Star Families,These ads ran without a disclaimer,≤100,1
Dave Callan Writes,Dave Callan,≤100,1
Center Theatre Group,These ads ran without a disclaimer,≤100,1
GMAD Gay Men of African Descent Inc.,These ads ran without a disclaimer,≤100,1
Ezekiel3Watchman Bureau of Investigations    (E.B.I.),These ads ran without a disclaimer,≤100,1
"LTM Endeavors- Gifts, smiles and more",These ads ran without a disclaimer,≤100,1
Ánimo Phillis Wheatley Charter Middle School,These ads ran without a disclaimer,≤100,1
Stouffer for Prosecutor,Don Stouffer,≤100,1
Rewire,These ads ran without a disclaimer,≤100,1
Tipmont REMC,Tipmont REMC,≤100,1
Plant City EDC,the Plant City EDC,≤100,2
Ánimo Mae Jemison Charter Middle School,These ads ran without a disclaimer,≤100,1
Cyndi Lamm,Citizens for Cyndi,≤100,1
Kids Against Hunger - St. Peters,These ads ran without a disclaimer,≤100,1
Bushra Amiwala,Amiwala for Cook County Board,≤100,3
Glastonbury Republican Town Committee,"Glastonbury Republican Town Committee , Ann Mount Treasurer",≤100,1
Gold President Coins,Gold President Coins,≤100,1
Harford County Office of Recycling,These ads ran without a disclaimer,≤100,1
Pain Consultants of East Tennessee,These ads ran without a disclaimer,≤100,1
The Scrap Exchange,These ads ran without a disclaimer,≤100,1
"Michael Radtke, Sterling Heights Councilman","Citizens for Michael Radtke, 34205 Barrett Dr., Sterling Heights, MI 48312",≤100,1
"Healthy Women, Healthy Liberia","Healthy Women, Healthy Liberia",≤100,1
The Tank,The Tank,≤100,1
Lighted Road Insurance,Lighted Road Insurance,≤100,1
Sophisticated Trendz�,These ads ran without a disclaimer,≤100,2
Tenth Amendment Center,Tenth Amendment Center,≤100,2
Claire Congdon Love Warrior/Yoga Teacher 200 RYT,These ads ran without a disclaimer,≤100,1
Paleo Politico News,PPN Broadcasting,≤100,3
"San Francisco, CA Local",These ads ran without a disclaimer,≤100,2
Andy Sheehy-Eureka School Board Member,Andy Sheehy for Eureka School District,≤100,1
ToughLawn,These ads ran without a disclaimer,≤100,1
Children's Recovery Center,These ads ran without a disclaimer,≤100,1
Mark Willen,These ads ran without a disclaimer,≤100,1
Amber Williams-Baldwin for KIC Advisory Health Board,These ads ran without a disclaimer,≤100,1
Gandhi's Be Magazine,These ads ran without a disclaimer,≤100,1
Iowa Food & Family Project,Iowa Food and Family Project,≤100,1
The Future Clothing,These ads ran without a disclaimer,≤100,1
Together Puerto Rico,Together Puerto Rico,≤100,1
Pine River Library Vote YES,These ads ran without a disclaimer,≤100,1
"Huntington Beach, CA Local",These ads ran without a disclaimer,≤100,2
The Campaign to Keep Guns off Campus,Andy Pelosi,≤100,1
The Daily Misanthrope,These ads ran without a disclaimer,≤100,1
Vote Like a Mother,Like a Mother LLC,≤100,1
Ánimo Ellen Ochoa Charter Middle School,These ads ran without a disclaimer,≤100,1
IL Muslim Civic Coalition,IL Muslim Civic Coalition,≤100,1
Rescue Union School District,These ads ran without a disclaimer,≤100,1
Parkell Dental,These ads ran without a disclaimer,≤100,1
APT.1C,These ads ran without a disclaimer,≤100,1
Lifeline Pet Rescue,These ads ran without a disclaimer,≤100,1
Polar Society,Polar Society,≤100,2
Alderman John Arena,Citizens to Elect John Arena,≤100,1
Eddie Zipperer,Eddie Zipperer,≤100,2
NRG Clean Power,These ads ran without a disclaimer,≤100,4
Wildmind,These ads ran without a disclaimer,≤100,1
Idiocracy News Media,Concerned Citizen David Townsend,≤100,1
My OwnPlace,These ads ran without a disclaimer,≤100,3
"Joel Krautter, Candidate for MT House District 35","Joel Krautter for House, 703 6th St. SE, Sidney, MT 59270, Melissa Norby Sanders, Treasurer, Republican.",≤100,1
The Black Light,These ads ran without a disclaimer,≤100,1
Viral Motion,These ads ran without a disclaimer,≤100,1
Modern city,Kayla Jean,≤100,2
Hudson Country Montessori School,These ads ran without a disclaimer,≤100,1
All About Your Health,These ads ran without a disclaimer,≤100,1
NY/CT Association of Tax Professionals,"NY/CT Association of Tax Professionals, Inc",≤100,1
Fair Districts PA - Bucks,Fair Districts PA,≤100,1
NC Child: the Voice for North Carolina's Children,NC Child,≤100,1
Ánimo James B. Taylor Charter Middle School,These ads ran without a disclaimer,≤100,1
The North Door,The North Door,≤100,3
Azusa's Education Forum,Azusa's Education Forum,≤100,1
Animo Inglewood Charter High School,These ads ran without a disclaimer,≤100,1
Periódico Claridad,These ads ran without a disclaimer,≤100,1
End Hunger In Calvert County,End Hunger In Calvert County,≤100,1
Ánimo South Los Angeles Charter High School,These ads ran without a disclaimer,≤100,1
Kent Reppert ll,These ads ran without a disclaimer,≤100,1
"Ed Lloyd & Associates, PLLC",These ads ran without a disclaimer,≤100,1
The Denver Doll,These ads ran without a disclaimer,≤100,2
Team Hank - Henry Suchodolski Memorial,These ads ran without a disclaimer,≤100,3
Ánimo Westside Charter Middle School,These ads ran without a disclaimer,≤100,1
Liberty On The Rocks - Flatirons,Liberty on the Rocks Flatirons,≤100,1
Black Central Station,the National Center for Public Policy Research,≤100,1
Oregon Center for Public Policy (OCPP),Oregon Center for Public Policy,≤100,1
Valhalla American Legion Post 1038,These ads ran without a disclaimer,≤100,1
The Medicine Shoppe Pharmacy,These ads ran without a disclaimer,≤100,1
Justin Allen H. for Laredo College Trustee place 4,Justin Allen H.,≤100,2
Progressive Humboldt Coalition,Progressive Humboldt Coalition,≤100,1
California Local News,These ads ran without a disclaimer,≤100,4
Nancy Bo Flood,These ads ran without a disclaimer,≤100,1
Treehouse,Treehouse,≤100,1
Live Green Lexington,These ads ran without a disclaimer,≤100,2
American Legion Post 43,These ads ran without a disclaimer,≤100,1
The Stanford Review,The Stanford Review,≤100,1
Prophet Of The Streets,These ads ran without a disclaimer,≤100,1
Mission Network News,These ads ran without a disclaimer,≤100,2
Activate Virginia,Activate Virginia,≤100,1
Wayside Athletic Club,These ads ran without a disclaimer,≤100,1
Jim Schooler for YV Town Council,Jim Schooler for YV Town Council,≤100,1
Ánimo Jefferson Charter Middle School,These ads ran without a disclaimer,≤100,1
Chad David Kraus Photography,Chad David Kraus Photography,≤100,2
Ams Prose,These ads ran without a disclaimer,≤100,1
My Pearland News,My Pearland News,≤100,1
NAPAbroadcasting.com,NAPAbroadcasting,≤100,1
"Christian Horvath, Redondo Beach City Council, District 3",Christian Anthony Horvath for Redondo Beach City Council 2015  ID #1373372,≤100,1
OxGrove Democrats,OxGrove Democrats,≤100,1
Pelton Graham LLC,These ads ran without a disclaimer,≤100,2
CCSU Identities,These ads ran without a disclaimer,≤100,1
Americans for Trump - Broward Chapter,"Americans for Trump inc, Americans for Trump-Broward Chapter is an independent club of supporters of President Donald J. Trump. Not paid for by any candidate or candidates committee, Donald J. Trump, The Trump Organization, or the Donald J. Trump Re election campaign in 2020.",≤100,1
W.Whitman Books,H. Douglas Guevara,≤100,1
Nautical Sun Beads,Nautical Sun Beads,≤100,2
Intellectual Property Group LLC,These ads ran without a disclaimer,≤100,1
العراق - IRAQ,These ads ran without a disclaimer,≤100,1
Full Stride Leadership,These ads ran without a disclaimer,≤100,1
Bop Shop Records,These ads ran without a disclaimer,≤100,1
Superior Health Foundation,These ads ran without a disclaimer,≤100,1
Fair Districts PA - Lawrence County,Fair Districts PA,≤100,1
SunShare,These ads ran without a disclaimer,≤100,1
Ánimo Western Charter Middle School,These ads ran without a disclaimer,≤100,1
Guy Harvey Sportswear,These ads ran without a disclaimer,≤100,2
ENDLESS FIELD,These ads ran without a disclaimer,≤100,2
Massachusetts Down Syndrome Congress (MDSC),Massachusetts Down Syndrome Congress,≤100,1
Pittsburgh History & Landmarks Foundation,These ads ran without a disclaimer,≤100,1
Oscar De La Hoya Ánimo Charter High School,These ads ran without a disclaimer,≤100,1
Kirtland Community College,Kirtland Community College,≤100,4
"Our Revolution - St. Joseph, MO",Our Revolution - St. Joseph,≤100,1
New York Faith & Freedom Coalition,New York Faith & Freedom Coalition,≤100,1
David Y. Grossman for Commissioner of Sunny Isles,These ads ran without a disclaimer,≤100,1
K.Talks,These ads ran without a disclaimer,≤100,1
Save Hastain Trail,Friends of Hastain Trail,≤100,2
Micronesia Islands Nature Alliance - MINA,These ads ran without a disclaimer,≤100,1
Paul Thurman for City Council District 5,Paul Thurman for Corpus Christi District 5,≤100,2
The Donald Trump Resistance,The Donald Trump Resistance Project and not authorized by any candidate or candidate's committee.,≤100,1
Ánimo College Prep Academy,These ads ran without a disclaimer,≤100,1
United Way Fox Cities,United Way Fox Cities,≤100,2
Hot Tub & Sauna Expert,These ads ran without a disclaimer,≤100,1
BWardPoetry,These ads ran without a disclaimer,≤100,1
PRSA Austin Chapter,These ads ran without a disclaimer,≤100,1
VFF USA,These ads ran without a disclaimer,≤100,1
Jimmie T. Smith,Jimmie T. Smith,≤100,1
350 Philadelphia,350 Philadelphia,≤100,1
Sundial St. Pete,These ads ran without a disclaimer,≤100,1
iCivics,These ads ran without a disclaimer,≤100,1
Destinbennettmusic,These ads ran without a disclaimer,≤100,1
Plano Moms,These ads ran without a disclaimer,≤100,1
We Were Born To Shine-Because We Believe,These ads ran without a disclaimer,≤100,1
Bright Day Calendars,These ads ran without a disclaimer,≤100,1
Minnetrista governance blog,Minnetrista Governance Blog page administrator Shannon Bruce,≤100,1
Backpack Kids,These ads ran without a disclaimer,≤100,1
Ánimo Venice Charter High School,These ads ran without a disclaimer,≤100,1
"George W. Healy, IV & Associates",These ads ran without a disclaimer,≤100,1
Wild Souls Wildlife Rescue and Rehab,These ads ran without a disclaimer,≤100,1
Natali Hurtado for TX House 126,"the Natali Hurtado Campaign - Kristi Thibaut, Treasurer.",≤100,2
Curves,These ads ran without a disclaimer,≤100,1
UpsideBot,These ads ran without a disclaimer,≤100,2
Anne Quillen for State House 25,"Anne Quillen for State House 25 / Dennis Gregg, Treasurer",≤100,1
UDW Home Care Providers Union,UDW Home Care Providers Union,≤100,1
Cascade AIDS Project,These ads ran without a disclaimer,≤100,1
Fin's Restaurant,These ads ran without a disclaimer,≤100,1
DM Mailing,These ads ran without a disclaimer,≤100,1
This Changes Everything - Hollywood,These ads ran without a disclaimer,≤100,1
Animo Pat Brown Charter High School,These ads ran without a disclaimer,≤100,1
Regional Transit Authority of Southeast Michigan,These ads ran without a disclaimer,≤100,1
Health Care Foundation of Greater Kansas City,Health Care Foundation of Greater Kansas City,≤100,1
Luminousmermaid,These ads ran without a disclaimer,≤100,2
The Muslims Are Coming,Dean Obeidallah,≤100,1
Oregon Environmental Council,Oregon Environmental Council,≤100,1
Londonderry Republican Committee,the Londonderry Republican Committee,≤100,1
Sweethearts and Heroes,These ads ran without a disclaimer,≤100,1
Representative Joey Hood,Joey Hood,≤100,1
Food And Care Coalition,These ads ran without a disclaimer,≤100,1
Community Health Council of Lebanon County,the Community Health Council of Lebanon County,≤100,1
Michelle Livinghouse for State Representative,Committee to Elect Michelle Livinghouse State Representative,≤100,1
Juliette Reilly,"Juliette Reilly of BW NICE, LLC.",≤100,1
Puerto Rico: Reunificacionistas,Gilbert Florens,≤100,1
Carroll White REMC,Carroll White REMC,≤100,1
Ninnescah Rural Electric Cooperative,Ninnescah Rural Electric Cooperative,≤100,1
Bluestem Electric Cooperative,Bluestem Electric Cooperative,≤100,1
1KEPT Atlanta,These ads ran without a disclaimer,≤100,1
Jesus Unltd,JESUS UNLTD,≤100,2
Love being a Paratrooper,These ads ran without a disclaimer,≤100,1
Our Revolution: San Antonio Area,These ads ran without a disclaimer,≤100,1
Post Oak Savannah Groundwater Conservation District,These ads ran without a disclaimer,≤100,1
Discover Potential Chiropractic,These ads ran without a disclaimer,≤100,1
Nick Klein for Wylie ISD School Board,Nick Klein for Wylie ISD School Board,≤100,1
Montgomery Parks,These ads ran without a disclaimer,≤100,1
Slayitagain,Slay It Again Tees and its owner,≤100,1
Centage,These ads ran without a disclaimer,≤100,2
Tyler McGregory,These ads ran without a disclaimer,≤100,1
Ánimo Leadership Charter High School,These ads ran without a disclaimer,≤100,1
TBReporter.com,"TB Reporter does not run political ads on Facebook. We are a news site that writes about politics. If you think this is an ad, it is not. It is a story about politics or a politician. The ads are paid for by Ragranok Group but they are not political ads. This is to comply with Facebook requirements",≤100,2
Ánimo Florence-Firestone,These ads ran without a disclaimer,≤100,1
Chocolate Girls,These ads ran without a disclaimer,≤100,1
Memes That Are Right,Memes That Are Right,≤100,2
Nothing but the Truth Sticker Campaign,These ads ran without a disclaimer,≤100,2
"Ohio Value Voters, Inc.","Ohio Value Voters, Inc.",≤100,1
She's A Wolf,She's A Wolf Clothing,≤100,2
Communication Across Barriers,Communication Across Barriers,≤100,1
The Atlanta Voice,The Atlanta Voice Newspaper,≤100,1
Fix Our Roads Alabama,"the Alliance for Alabama’s Infrastructure, 2 North Jackson Street, Montgomery, AL 36104",≤100,11
Twenty First and Main,21st & Main,≤100,1
Salem: Unveiled,These ads ran without a disclaimer,≤100,1
"Dr. Jennifer Cantu, Democrat for State Representative HD-85","Jennifer Cantu for Texas State Representative 85, Elizabeth Mendoza, Treasurer",≤100,1
Preston Ridge Oil,These ads ran without a disclaimer,≤100,1
Indivisible - Blair County,Indivisible Blair County,≤100,1
Elite Electric And Air,These ads ran without a disclaimer,≤100,2
The MattieIce Show,These ads ran without a disclaimer,≤100,1
Circle of Sisterhood Foundation,These ads ran without a disclaimer,≤100,1
Mississippi Local News,These ads ran without a disclaimer,≤100,2
Dustin Owen Mortgage Team at Waterstone Mortgage NMLS #322926,Dustin Owen Mortgage Team at Waterstone Mortgage,≤100,1
SC Hosack Plumbing & Excavation,These ads ran without a disclaimer,≤100,1
C&I Studios,C&I Studios,≤100,1
"The Khan Law Firm, Inc.",These ads ran without a disclaimer,≤100,3
No Spin Zone Fall River,No Spin Zone Fall River,≤100,1
Ánimo Watts College Prep Academy,These ads ran without a disclaimer,≤100,1
Dais X,These ads ran without a disclaimer,≤100,4
Deborah Elliott Realty,These ads ran without a disclaimer,≤100,1
Habitat for Humanity Tucson,These ads ran without a disclaimer,≤100,1
The Fanciest 5K. Ever.,These ads ran without a disclaimer,≤100,1
Tennessee Justice Center,Tennessee Justice Center,≤100,1
Ron Molinaro for Mayor of Zion Illinois,Friends of Ron Molinaro,≤100,1
UNC School of Education,These ads ran without a disclaimer,≤100,1
Great Falls Group Sierra Club Virginia,"Sierra Club, Great Falls Group",≤100,1
"Arise & Shine Breakfast Ministry's, Inc.,NPO.",These ads ran without a disclaimer,≤100,1
TheaterMania,These ads ran without a disclaimer,≤100,1
National Skills Coalition,These ads ran without a disclaimer,≤100,1
Councilmember Andrew Coolidge,Coolidge City Council 2018 FPPC#1362012,≤100,1
"Duerr Imports, LLC",These ads ran without a disclaimer,≤100,1
Dr David L Vastola,These ads ran without a disclaimer,≤100,1
Billy J Hamilton,These ads ran without a disclaimer,≤100,1
Uniting at Southwest,Uniting at Southwest,≤100,1
ChicoSol.org,These ads ran without a disclaimer,≤100,1
CivikOwl,"CivikOwl. We are an independent software company based in California, primarily self-funded, and not affiliated with any political party.",≤100,2
Stitches'n'Stuff Fabric Shoppe,These ads ran without a disclaimer,≤100,1
Stalin’s Gulag of Liberal Memes,These ads ran without a disclaimer,≤100,1
Save Harley Clarke,These ads ran without a disclaimer,≤100,1
Colorado Local News,These ads ran without a disclaimer,≤100,3
Florida Faith Church,These ads ran without a disclaimer,≤100,2
Diana Wortham Theatre,These ads ran without a disclaimer,≤100,1
Bend YMCA,the YMCA,≤100,1
Downtown Providence Parks Conservancy,These ads ran without a disclaimer,≤100,1
Pierce Conservation District,Pierce Conservation District,≤100,1
"Inside Moves Relocation Services, Inc.",These ads ran without a disclaimer,≤100,1
Sara Schmitz 4 IVGID Board of Trustees,Sara Schmitz 4 IVGID BOT,≤100,1
Ralph Pawlikowski for 38th Ward Alderman,38th Ward for Ralph Pawlikowski,≤100,1
Kosher Culinary Concepts of Dallas,These ads ran without a disclaimer,≤100,1
Support Our Schools - SOS Wauwatosa,Support Our Schools - Wauwatosa,≤100,1
Cheryl Gordon for City Council District 5,Cheryl Gordon for Framingham,≤100,1
Seattle Aquarium,These ads ran without a disclaimer,≤100,2
Alice@97.3,These ads ran without a disclaimer,≤100,1
MYD | Manhattan Young Democrats,Manhattan Young Democrats,≤100,1
Lift Her Up Apparel Co,These ads ran without a disclaimer,≤100,1
Kent County Republican Central Committee,Tatiana Croissette,≤100,1
Rob Jamner,These ads ran without a disclaimer,≤100,1
Concern Worldwide US,These ads ran without a disclaimer,≤100,1
Society To End the Entitlement Mentality - STEEM,Society To End The Entitlement Mentality,≤100,1
"Prodos Counseling, LLC",Prodos Counseling,≤100,1
Indivisible Evansville,Indivisible Evansville,≤100,1
Know the Dangers,These ads ran without a disclaimer,≤100,1
Hanna's Tresses,Danielle Tate,≤100,1
Freedom Wear USA,Freedom Wear USA,≤100,1
Breath of Life Haiti,These ads ran without a disclaimer,≤100,1
Colby for Town Justice,Committee to re-Elect Judge Colby,≤100,1
Karchere Consulting Group of Platinum Property Realty,These ads ran without a disclaimer,≤100,1
DEEP Los Angeles,These ads ran without a disclaimer,≤100,1
St. Croix Environmental Association,These ads ran without a disclaimer,≤100,1
Oceanites,These ads ran without a disclaimer,≤100,1
Pinero Outfitters,These ads ran without a disclaimer,≤100,1
Jody Lang Bender - Marvel Wellness Solutions llc,These ads ran without a disclaimer,≤100,1
Law Office of Michael G. Calogero,These ads ran without a disclaimer,≤100,1
Antis Roofing & Waterproofing,These ads ran without a disclaimer,≤100,1
M3rd Media,These ads ran without a disclaimer,≤100,1
Macon Water Authority,These ads ran without a disclaimer,≤100,1
Straight Twist - Animal Welfare,Straight Twist,≤100,1
Downers Grove Citizens Advisory Group,Downers Grove Citizens Advisory Group,≤100,1
J.S. Mullen,These ads ran without a disclaimer,≤100,1
West Virginia Citizen Action Group,WV Citizen Action Group,≤100,1
Punto Voto,These ads ran without a disclaimer,≤100,1
Big Yarn,These ads ran without a disclaimer,≤100,1
Smart Roofs Solar,These ads ran without a disclaimer,≤100,1
KOVAL Distillery,These ads ran without a disclaimer,≤100,2
Alabama Local News,These ads ran without a disclaimer,≤100,3
Janice Rich for Colorado,"Citizens to Elect Janice Rich, HD 55",≤100,1
Barone for Congress,Roger Barone For Congress Principal Campaign Committee,≤100,1
Philip Teresi,"Philip Teresi, Fresno CA",≤100,1
InMaricopa,InMaricopa Media and News Organization,≤100,1
Trump International Golf Club Palm Beach,These ads ran without a disclaimer,≤100,1
Sadie Gardner for Circuit Judge,Committee to Elect Sadie Gardner Circuit Judge,≤100,1
YCP San Diego,These ads ran without a disclaimer,≤100,1
Virginia Local News,These ads ran without a disclaimer,≤100,2
Gulf Restoration Network,Gulf Restoration Network,≤100,1
Tulsa Metro Baptist Network,These ads ran without a disclaimer,≤100,1
Iowa Rock 'n' Roll Music Association,These ads ran without a disclaimer,≤100,1
"One Flag, One America","One Flag, One America",≤100,2
Karen Fielding for Mesquite City Council Seat 4,Vote for Karen Fielding Campaign,≤100,1
"The White House - DuBois, IL",These ads ran without a disclaimer,≤100,1
CristianCruz,CRISTIAN CRUZ,≤100,1
Marine Fish Conservation Network,the Marine Fish Conservation Network,≤100,1
BlitzMetrics,These ads ran without a disclaimer,≤100,1
NSP Arts in the Park,These ads ran without a disclaimer,≤100,1
Vote Gino for Justice,Gino Marmorato,≤100,1
Votesane.com,"Votesane LLC, a nonpartisan US political marketplace listing ALL federal candidates.",≤100,1
Shirts Be Like,Shirts Be Like Co,≤100,1
Clear Shower XL,Clear Shower XL,≤100,1
Food Bank of Central & Eastern North Carolina,These ads ran without a disclaimer,≤100,1
Olamide Amure,These ads ran without a disclaimer,≤100,1
Senator Carl Marcellino,NYS SRCC,≤100,1
Posh Paws Adventures,These ads ran without a disclaimer,≤100,1
Northwest Michigan Libertarian,Donna Gundle-Krieg,≤100,1
Zachary Elliot,Zachary Elliot,≤100,1
AZ Home Connection,AZ Home Connection,≤100,1
Benjamin Hernandez,Benjamin for Congress,≤100,1
Rabun County GA Republicans,Rabun County (GA) Republican Party,≤100,1
Mathnasium of Dunkirk,These ads ran without a disclaimer,≤100,1
Our Economy Social,The BizPol Social and not authorized by any candidate or candidate's  committee unless stated otherwise.,≤100,1
Professional Martial Arts Academy Plaistow,These ads ran without a disclaimer,≤100,1
NYU LGBTQ Alumni Network,These ads ran without a disclaimer,≤100,1
Cloud 9 Cinematography,These ads ran without a disclaimer,≤100,1
Thanksgiving Coffee Company,These ads ran without a disclaimer,≤100,1
Energy Huntsville,These ads ran without a disclaimer,≤100,1
HealthCare.gov - Consumer Health Insurance Plan Discussion - Unofficial,These ads ran without a disclaimer,≤100,1
Caesar The No Drama Llama,Salem Community Organizers,≤100,2
Rescuing Hope,These ads ran without a disclaimer,≤100,2
Oliver Thomas,These ads ran without a disclaimer,≤100,1
Dream Hollywood,These ads ran without a disclaimer,≤100,1
Your Future After Divorce,These ads ran without a disclaimer,≤100,1
Fiddler's Dream Coffeehouse,These ads ran without a disclaimer,≤100,1
50 Shades Of Red Podcast,These ads ran without a disclaimer,≤100,1
Jewish Relief Agency,These ads ran without a disclaimer,≤100,1
Poverty and the Arts,These ads ran without a disclaimer,≤100,1
"Jane DeLong, Mary Kay Independent Beauty Consultant",These ads ran without a disclaimer,≤100,1
Senator Wil Castro,Senator Wil Castro,≤100,1
New Horizons Home Health Services,These ads ran without a disclaimer,≤100,1
Memoriiies Never Die,These ads ran without a disclaimer,≤100,1
New Orleans Workers' Center for Racial Justice,NOWCRJ,≤100,6
The KNOW Joey? Foundation,These ads ran without a disclaimer,≤100,1
American Bankers Association,the American Bankers Association.,≤100,1
Limpiar,These ads ran without a disclaimer,≤100,1
Institute for a Democratic Future,Institute for a Democratic Future,≤100,1
Dakotans for Honesty in Politics,Dakotans for Honesty in Politics,≤100,1
Anera,These ads ran without a disclaimer,≤100,1
Rotary District 6970,Rotary District 6970,≤100,1
