Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Georgia Equality,Georgia Equality,≤100,1
Vote 2 Elect Tom Harness,Vote 2 Elect Tom Harness,≤100,3
Fairway Independent Mortgage Corp. - The Heritage Group,Fairway Independent Mortgage - The Heritage Group,≤100,1
Ken Blackwell,Ken Blackwell and Friends,≤100,1
"Natural Investments, LLC","Natural Investments, LLC – an independent SEC registered investment adviser, we are a national portfolio management firm specializing in socially responsible and sustainable investments",≤100,2
Joseph's Clothiers Savannah,These ads ran without a disclaimer,≤100,1
Blacks in the Bible,James H. Warden Jr.,≤100,1
SanDiego350,SanDiego350,≤100,1
Park Avenue Christian Church,Park Avenue Christian Church,≤100,1
MoveOn,MoveOn.org Civic Action.,≤100,21
Anybody seen my slippers ?,Anybody Seen My Slippers ?,≤100,2
Alderman Roberto Maldonado,Citizens for Maldonado,≤100,2
Wu for West Covina,Tony Wu,≤100,1
Parker J. Palmer,Parker J. Palmer,≤100,1
Idiocracy News Media,Concerned Citizen David Townsend,≤100,3
Commuting Solutions,Commuting Solutions,≤100,1
NALC Truth Page,David Noble,≤100,1
Betty Griffin Center,Betty Griffin Center,≤100,7
Trans Plus,Friends of Trans Plus,≤100,1
Bud Light San Antonio,Silver Eagle Distributors,≤100,1
ReThink Energy Florida,ReThink Energy Florida,≤100,1
Online University of the Left,"Carl Davidson, 15001",≤100,3
Socialist Alternative,Socialist Alternative,≤100,1
The Campaign to Keep Guns off Campus,Andy Pelosi,≤100,1
"John Bermingham Chairman, UMBT Supervisors - The Voice For The People",John Bermingham,≤100,2
"Something has to change, and NOW",Chris Grisolia,≤100,1
One kind act a month,Timohty O Turner CEO of One kind act a month,≤100,5
Nevada Policy,"Paid for by the Nevada Policy Research Institute. As a 501(c)(3) nonprofit organization, the Institute does not endorse or oppose political candidates.",≤100,6
Illinois Citizens for Ethics - Political Action Committee,Illinois Citizens for Ethics PAC | ICE-PAC,≤100,4
New York Bicycling Coalition,the New York Bicycling Coalition,≤100,1
Page County Indivisible,Page County Indivisible,≤100,3
"Gianna Willard Flanery For KIC Tribal Council, 2019",Gianna Willard Flanery,≤100,1
Redneck Nation Clothing,Redneck Nation,≤100,1
Families in Transition,Families in Transition - New Horizons,≤100,2
CUDDLY,Cuddly,≤100,4
Brooke Training Solutions,These ads ran without a disclaimer,≤100,1
Commonwise,Commonwise,≤100,27
AARP Oregon,These ads ran without a disclaimer,≤100,2
Mayor Byron W. Brown,Brown for Buffalo,≤100,2
Decriminalize Denver,Decriminalize Denver,≤100,3
FreedomProject,FreedomProject,≤100,4
Direct Relief,Direct Relief,≤100,2
Combined Federal Campaign - Hawaii Pacific,the Combined Federal Campaign - Hawaii Pacific,≤100,3
Commissioner Frank Williams,the Frank Williams Committee,≤100,1
Dom Pascual - Democratic Committeeman,Dom Pascual,≤100,2
Peace Gospel,Peace Gospel,≤100,5
McShane LLC,McShane LLC,≤100,2
Stop the Gross Dam Expansion Coalition - Lead by TEG,donations to the Stop Gross Reservoir Expansion campaign,≤100,1
The City of Iowa City Government,City of Iowa City,≤100,1
Gibbs Law Group LLP,Gibbs Law Group,≤100,1
Support a 100% Disabled Veteran,Veterans of Ogden,≤100,1
Alabaster Living by video visions,Video Visions Media Marketing,≤100,1
Black Kids in Outer Space,Lark Lo,≤100,1
Catholic Democrats of Nebraska,Catholic Democrats of Nebraska,≤100,2
If Americans Knew,"If Americans Knew, a nonpartisan, nonprofit American think tank that provides information on Israel-Palestine and related subjects. Since the US gives Israel over $10 million per day, we feel it is essential that Americans learn the facts on this issue, especially information largely omitted from US news reports.",≤100,1
"Loisann's Hope House in Fredericksburg, VA",Loisann's Hope House,≤100,1
Nationsroot USA,Nationsroot Inc,≤100,3
Seattle Public Schools,Seattle Public Schools,≤100,3
Arena,The Arena PAC,≤100,2
Reclaim The American Dream,reclaimtheamericandream,≤100,2
Friends of Barrett F. Pedersen,Friends of Barrett F Pedersen,≤100,1
J'aime Voyager Travel Accessories,These ads ran without a disclaimer,≤100,2
"Massachusetts Gun Rights, Inc.",Massachusetts Gun Rights,≤100,1
Chris Jensen for Noblesville,Jensen for Noblesville Committee,≤100,1
Threshold to New Life,"Richard Bahr, co-founder of Threshold to New Life",≤100,1
Maggie's List,"Maggie's List, a Political Action Committee",≤100,2
Who Stole the American Dream?,reclaim the american dream - 501(c)3 - IRS certified,≤100,4
Florida Daily,Florida Daily,≤100,3
"ACE Financial Group, LLC","ACE Financial Group, LLC",≤100,2
Kenneth Sanders for Justice of the Peace,Kenneth Sanders,≤100,1
Texas Right to Life,Texas Right to Life,≤100,3
Pines International,Pines International,≤100,2
Modesto Progressive Democrats,"Modesto Progressive Democratic Club, Inc.",≤100,1
SEIU6 Property Services NW,"SEIU6, 3720 Airport Way, Seattle, WA",≤100,1
YWCA Southern Arizona,These ads ran without a disclaimer,≤100,1
Gillispie Land Group,These ads ran without a disclaimer,≤100,1
DeWitt County Wind Power,Alta Farms Wind Project,≤100,1
Charles Law Jr For State Senate,Charles Law Jr For State Senate,≤100,2
Buffalo Iron Works,Buffalo Iron Works,≤100,3
Vince Sera - NJ,"Sera for Council, PO Box 474, Brigantine, NJ 8203",≤100,1
Inspired Silver,These ads ran without a disclaimer,≤100,1
Rural Impact Hub,Rural Impact Hub,≤100,1
Jonathan P. Woodley for Denver,Jonathan P. Woodley for Denver,≤100,2
Jared Schumacker Candidate for Alder of Madison District 3,Jared Schumacker,≤100,4
Mayor Nancy Shaver,Nancy Shaver for Mayor,≤100,2
Pennsylvania Record,The Record,≤100,1
Woodland Park Zoo,Woodland Park Zoo,≤100,1
Bill Carlson for Tampa City Council,"and approved by Bill Carlson for Tampa City Council, District 4.",≤100,2
Community Homeless Solutions,Community Homeless Solutions,≤100,3
African American Caucus - North Carolina Democratic Party,African American Caucus - North Carolina Democratic Party,≤100,2
Concerned Citizens for Nuclear Safety (CCNS),Concerned Citizens For Nuclear Safety,≤100,2
Derrick Neuner for Alderman,"Friends of Derrick Neuner, Steve Lenivy, Treasurer",≤100,1
Think Wild Central Oregon,Think Wild,≤100,1
BRIC TV,BRIC TV,≤100,1
The Informed Peoples Initiative,"Mario Guarino, Individual and Concerned Citizen of the USA",≤100,2
Nature in the City,Nature in the City,≤100,1
Persistiny,Persistiny,≤100,1
Happy Note Publishing,Happy Note Publishing.,≤100,1
PAA East,PA Apartment Association East,≤100,4
Capuchin Soup Kitchen,Capuchin Franciscan Province of St. Joseph,≤100,1
Medicare Phoenix,Medicare Phoenix,≤100,1
Patriot-Outfitters.com,Larry Duffy,≤100,1
The Conservation Fund,The Conservation Fund,≤100,1
Will Dixon Real Estate,Will Dixon Real Estate,≤100,2
TrendChat with Brian Bledsoe,TrendChat,≤100,1
We Back The Badge,"We Back the Badge, Inc",≤100,1
CAARE,Citizens for Alternatives to Animal Research and Experimentation,≤100,1
Brian Hill HD47,Brian Hill for the House 2018 HD47,≤100,2
Crews for Mayor,Donald Crews,≤100,1
Ecommoutlet,Ecomm Outlet LLC,≤100,2
Citizens for Linda Hudson 8th Ward Aldermanic Candidate,Nicholas M Williams,≤100,1
Elijah Rising,Elijah Rising,≤100,2
The LeMieux Center for Public Policy at Palm Beach Atlantic University,The LeMieux Center for Public Policy,≤100,1
Stand With Iraqi Christians,Stand With Iraqi Christians,≤100,1
Paragon Science Academy,These ads ran without a disclaimer,≤100,1
Great Truths LLC,GREAT TRUTHS LLC,≤100,1
Help Florida Heal,Help Florida Heal,≤100,1
Homegrown Stories,Western Organization of Resource Councils,≤100,2
Dasan Klingenberg for Ward One Alderman,Dasan Klingenberg for Alderman,≤100,2
College Democrats of Vermont,College Democrats of Vermont,≤100,1
Wild Horse Education,These ads ran without a disclaimer,≤100,2
Monterey Peninsula Water Management District,Monterey Peninsula Water Management District,≤100,1
BlueWaveNJ,BlueWaveNJ,≤100,1
Hickman For Norman,Hickman for Norman,≤100,2
ProgressNow Colorado,ProgressNow Colorado,≤100,1
Mayor David Suarez,David Suarez For Weslaco Mayor,≤100,1
Fix Our Roads Alabama,"the Alliance for Alabama’s Infrastructure, 2 North Jackson Street, Montgomery, AL 36104",≤100,9
Florida Voices for Health,Florida Voices for Health,≤100,1
Anglers for Lake Okeechobee,Anglers for Lake Okeechobee,≤100,1
Wheels 4 Water,These ads ran without a disclaimer,≤100,1
"BCom Solutions, LLC","BCom Solutions, LLC",≤100,1
Everyone Loses with City Prop A,"with regulated funds by Protect Our Future: Voters for a Responsible Ann Arbor | PO Box 3497 Ann Arbor, MI 48106",≤100,1
Mokos,Mokos Co.,≤100,1
Nick Rago Unfiltered,Nick Rago,≤100,1
Ray Madrigal - Lemoore City Council,Ray Madrigal for City Council,≤100,1
Richardson Police Officers' Association FOP Lodge 105,Richardson Police Officers Association FOP Lodge 105,≤100,1
Vista Home Improvement,Vista Home Improvement,≤100,1
Luis Gaitan For Council,Luis Gaitan For Council,≤100,3
New Orleans Lympho-Maniac Cancer Fund,New Orleans Lympho-Maniac Cancer Fund,≤100,2
The Bob Zadek Show,Clint Townsend,≤100,1
"Little Steps, Big Impact",Little Steps Big Impact,≤100,1
Bill Lowry for Cook County Commissioner 3rd District,Friends of Bill Lowry,≤100,1
Cascade AIDS Project,Cascade AIDS Project,≤100,2
Marc Falzon,Marc Falzon,≤100,2
Colorado Carbon Fund,Colorado Carbon Fund,≤100,1
TomHalvorson,"Tom Halvorson, Sidney, Montana",≤100,1
PEMCO Insurance,PEMCO Mutual Insurance Co,≤100,1
Menefee For Congress,Menefee for Congress,≤100,1
Keith Furman,Friends of Keith Furman,≤100,1
South Jacksonville Mayor Harry Jennings,Harry Jennings,≤100,2
Michigan League for Public Policy,Michigan League for Public Policy,≤100,1
Secure Medicare Solutions,Secure Medicare Solutions,≤100,2
Team Boston Academy,Sports Woman Media,≤100,2
Michele Lazarow Hallandale Beach City Commissioner,Vice Mayor Michele Lazarow,≤100,2
Arkansas Advocates for Parental Equality,Arkansas Advocates for Parental Equality,≤100,1
Affinity First Federal Credit Union,These ads ran without a disclaimer,≤100,1
G3C Technologies Corporation,G3C Technologies Corporation,≤100,1
International Community Foundation,International Community Foundation,≤100,6
Advanced Auto Service,Advanced Auto Service,≤100,2
Allied Roofing and Siding,These ads ran without a disclaimer,≤100,1
Oregon Gun Owners,Oregon Gun Owners,≤100,1
Ecuatorianos con Lasso Usa-Canada.,Vicente Carpio Moure,≤100,2
Christian Cortés,Comité Christian Cortés 2020,≤100,1
Makeamericagoodagain,These ads ran without a disclaimer,≤100,1
Chris Baecker,Chris Baecker,≤100,1
Patrick Evans for Mayor,Friends of Patrick Evans,≤100,1
Mat Rick Photography,"Mat Rick Photography, LLC",≤100,2
Commissioner Troy Donté Prestwood,Commissioner Troy Donté Prestwood,≤100,1
Livermore Recycles,Livermore Recycles,≤100,1
"Elizabeth Ropp, Register of Probate, Hillsborough County, New Hampshire",Friends of Elizabeth Ropp,≤100,1
94.9 KLTY - Your Life. Inspired,Feed My Starving Children,≤100,1
Sadowski for Chancery Clerk,Friends and Family of Debra Sadowski,≤100,1
Commissioner Jesse Gonzalez,"Linda R. Ramirez, Treasurer, PO Box 430249 Laredo TX 78043",≤100,1
Rick Cruz District 9 Alderman Candidate,Rick Cruz for District 9 Alderman,≤100,4
TinleySparks,Steve Eberhardt,≤100,1
Intellegere Project,Intellegere Project,≤100,1
The Angels Community Outreach,These ads ran without a disclaimer,≤100,1
The Century Shoppe,These ads ran without a disclaimer,≤100,1
Mergl for Judge,Committee to Elect Ryan Mergl Judge,≤100,1
Bethel School District,Bethel School District,≤100,1
"Councilwoman Shaunte L. Allen, Glenn Heights",Allen Campaign,≤100,1
Ipockolyptic Productions,Ipockolyptic Productions,≤100,1
Nicole Hickman James,Nicole Hickman James,≤100,1
Acme Bail Bonds,Acme Bail Bonds,≤100,2
Women's March Maui 2019,Womens March Maui,≤100,3
Preston Brown Jr.,Citizens to Elect Preston Brown,≤100,2
Bainbridge Island Land Trust,Bainbridge Island Land Trust,≤100,2
The Clean Air Act,"The Clean Air Act, LLC",≤100,4
Dough,Dough,≤100,2
National Write Your Congressman,National Write Your Congressman,≤100,1
Search Isaiah,Mobaliz LP,≤100,1
Caddo Commissioner Steven Jackson,The Committee to Elect Steven Jackson,≤100,1
National Secure Storage,National Secure Storage LLC,≤100,1
Wheelhouse Creative,Wheelhouse Creative,≤100,1
Beauty Elements,Izumi Montenero,≤100,2
New Milford Republican Town Committee,New Milford RTC,≤100,1
Natural Habitat Adventures,Natural Habitat Adventures,≤100,4
Front Porch Politics,David L. Marks | Front Porch Politics,≤100,1
Steps of Love,Steps of Love,≤100,1
Virginia Society for Human Life,Virginia Society for Human Life,≤100,2
ArchWay Kids,"Parallel Arc Publishing, LLC",≤100,1
Richmond IWW,the Richmond IWW,≤100,2
Dr. John Solyman-Money.Doctor,Money.Doctor,≤100,1
Conservative Daily,Conservative Daily,≤100,2
Pine River Wind Energy,Pine River Wind Project,≤100,1
Covenant Tabernacle World Outreach Center,Covenant Tabernacle World Outreach Center,≤100,4
Corkscrew Donald,Eagleview USA,≤100,1
Renato Mariotti,Renato Mariotti,≤100,2
Theresa Miskimen M.D. for APA President-Elect,Theresa Miskimen for APA President Elect,≤100,1
Sheeble,Sheeble,≤100,1
Mayor P.J. Connelly,Citizens to Elect P.J. Connelly,≤100,1
Jesse Johnson Coaching,These ads ran without a disclaimer,≤100,2
Blythe Baubles,"Blythe Baubles, LLC",≤100,2
Stacey Woolley for Tulsa School Board,Stacey Woolley for School Board 2019,≤100,1
Recall Councilman Prasad,The Recall Councilman Prasad Committee,≤100,1
Interamerican Association for Environmental Defense (AIDA),AIDA English,≤100,2
"St. Cyprian's Episcopal Church, San Francisco",St. Cyprian's Episcopal Church,≤100,1
Backpacks For Life,These ads ran without a disclaimer,≤100,1
Vernon Township Democrats,Vernon Township Democrats,≤100,1
"Rauch, Inc.","Rauch, Inc.",≤100,2
Radio Room,Radio Room,≤100,1
WestHollywood BeverlyHills DemocraticClub,Lillian Raffel,≤100,1
Representative Frank Burns,Committee to re-elect Frank Burns,≤100,1
Wyoming Wildlife Federation,Wyoming Wildlife Federation,≤100,1
Fukiu,"Jorie Henrickson, the creator of Fukiu haiku",≤100,2
Advocates for Equal Justice,Sandra O'Hara Harmon,≤100,2
Lindbergh Schools,Lindbergh Schools,≤100,2
JoBeth for Ward 6,Friends of JoBeth Hamon 2019,≤100,3
Denton County Young Republicans,Chris Betts,≤100,1
Southwest Florida Water Management District,Southwest Florida Water Management District,≤100,1
Council of School Supervisors & Administrators,Council of School Supervisors and Administrators,≤100,1
The Halfway Post,The Halfway Post,≤100,2
1077 The End,These ads ran without a disclaimer,≤100,1
Migrantes Ecuatorianos USA con CREO,Vicente Carpio Moure,≤100,2
Jonathan Singer for House District 11,Joanthan Singer for HD 11,≤100,3
SupChina,SupChina,≤100,7
OluKai,These ads ran without a disclaimer,≤100,1
Central Minnesota Christian School,Central Minnesota Christian School,≤100,2
Uprise RI,"Steve Ahlquist, writer/editor of UpriseRI",≤100,2
National Vaccine Information Center,National Vaccine Information Center,≤100,2
Brookhaven Town Republican Committee [BTRC],Brookhaven Town Republican Committee,≤100,1
Circa Real Estate LLC,These ads ran without a disclaimer,≤100,1
INVISIBLE HAND,Public Herald,≤100,1
Lamppost Education Initiative,Lamppost Education Initiative,≤100,2
Christian Churches United of the Tri-County Area,Christian Churches United of the Tri-County Area,≤100,1
PHENOM (Public Higher Education Network of Massachusetts),PHENOM,≤100,1
Senator Sharon Hewitt,Sharon Hewitt Campaign,≤100,5
Northern State University,Northern State University,≤100,1
Keep Waverly Moving,Keep The US Moving,≤100,2
Florida Wildlife Federation,Florida Wildlife Federation,≤100,2
Morgan Murtaugh,Murtaugh for Congress,≤100,1
RobwilsonTV,ROBWILSONTV,≤100,2
Put Louisiana First,Put Louisiana First. Not authorized by any candidate or candidate comittee.,≤100,3
Free Jerome Kowalski- Wrongly Convicted in Michigan,These ads ran without a disclaimer,≤100,1
L.A. TACO,L.A. Taco,≤100,3
Laura Sibilia for VT,Laura Sibilia for VT,≤100,1
Jack D. Franks,Supporters of Jack D. Franks,≤100,1
Apache Trace Apartments,These ads ran without a disclaimer,≤100,1
The American Alpine Club,These ads ran without a disclaimer,≤100,2
Bertling Law Group,Bertling Law Group,≤100,1
New Energy Economy,"New Energy Economy, 343 E. Alameda St. Santa Fe, NM 87501",≤100,1
Eugene Neighborhoods,Public Interest Communications Association - PICA,≤100,1
Ron Molinaro for Mayor of Zion Illinois,Friends of Ron Molinaro,≤100,2
Buffalo River Watershed Alliance,Buffalo River Watershed Alliance,≤100,8
Soderholm Insurance Services,Soderholm Insurance Services,≤100,1
The Resistance Alliance,John Anthony Castro,≤100,2
Howling Wolf Productions,Howling Wolf Productions,≤100,1
David G Frazier for Mayor,David G Frazier for Mayor,≤100,2
Binghamton Rescue Mission,Binghamton Rescue Mission,≤100,1
Grassroot Institute of Hawaii,Grassroot Institute of Hawaii,≤100,2
Ben Cline,Ben Cline for Congress,≤100,1
Belief Martial Arts Leadership Academy,These ads ran without a disclaimer,≤100,1
Paramount Communications,Paramount Communications,≤100,1
Senator Jean A. Forde,the Committee to Elect Jean Forde,≤100,1
Flagstaff Education Association - FEA,Flagstaff Education Association,≤100,1
Colorado Farm Bureau,Colorado Farm Bureau,≤100,1
FOCUS Safety Training,Michael McGrory,≤100,3
Bend the Arc Jewish Action,Bend the Arc: Jewish Action and not authorized by any candidate or candidate's committee.,≤100,1
Stop Clinton from Becoming Connecticut's Dumping Ground,James Connolly,≤100,2
Beyond Toxics,Beyond Toxics,≤100,1
Public Policy Institute of California,Public Policy Institute of California,≤100,2
Florida Coastal Property Rights,Florida Coastal Property Rights,≤100,6
"Valerie Amezcua, SAUSD Board of Education",Valerie Amezcua,≤100,1
CODAC Behavioral Healthcare,CODAC Behavioral Healthcare,≤100,2
Julia Peacock,Julia Peacock for Congress,≤100,1
The Fund for Global Human Rights,The Fund for Global Human Rights,≤100,4
Mississippians Against Human Trafficking,Mississippians Against Human Trafficking,≤100,1
A Call for Reparations and Equal Justice,A Call for Reparations and K. Kinnamont,≤100,1
Rick Davis & Associates,Rick Davis,≤100,3
Montclair Proud,Gary Lawson,≤100,2
Environmental Progress,Environmental Progress,≤100,1
Cranes Tax Preparation,Ronald Ray for Cranes Tax Promotion,≤100,1
Oregon Executive Club,Oregon Executive Club,≤100,3
Wilmington University,These ads ran without a disclaimer,≤100,1
Combined Federal Campaign of South Central Virginia and Albemarle Bay,the Combined Federal Campaign of South Central Virginia and Albemarle Bay,≤100,2
Lyndon LaRouche PAC,Lyndon LaRouche PAC,≤100,2
Detroit Wants 2 Know,Steve Hood,≤100,1
Trans Futures,Central Texas Trans Health Coalition,≤100,1
La Verne Proud,Gary Lawson,≤100,2
Truth Initiative,Truth Initiative,≤100,1
Philadelphia Student Union,the Philadelphia Student Union,≤100,2
"Higher Health Spine & Sport, Bellevue",Dr. Pauline Haugen of Higher Health Spine & Sport.,≤100,1
Invisible Institute,the Invisible Institute,≤100,1
Daftboy,"Daft Boy, LLC",≤100,2
Long Beach Commercial Real Estate Council,the Long Beach Commercial Real Estate Council,≤100,2
SAM,Serve America Movement,≤100,2
The Man Cave,The Man Cave,≤100,1
Preterm Cleveland Ohio,"Preterm Cleveland, Inc",≤100,1
Bird Conservation Fund,Aaron Maizlish,≤100,2
The Nature Conservancy MD/DC,The Nature Conservancy in Maryland/DC,≤100,2
smarTours,smarTours,≤100,1
"Race, Racism and the Law",Prof.V.Randall,≤100,11
United Way of Eastern Maine,United Way of Eastern Maine,≤100,1
Western Justice Center/ENCOMPASS,Western Justice Center,≤100,1
Common Threads Northwest,Common Threads Northwest,≤100,2
Florida Family Policy Council,These ads ran without a disclaimer,≤100,1
Legal Action of Wisconsin,Legal Action of WI,≤100,9
Sprague Democratic Town Committee,These ads ran without a disclaimer,≤100,1
Fonkoze,Fonkoze USA,≤100,1
United Poultry Concerns,United Poultry Concerns,≤100,2
Notsobreitbart.com,Jeffrey Breitbart,≤100,1
Oklahoma Attorneys Mutual Insurance Company,Oklahoma Attorneys Mutual Insurance Company,≤100,1
Candidates.Vote,Candidates DotVote Political Blog. Not Paid for by any candidate or candidates committee.,≤100,2
Capital Area Food Bank,These ads ran without a disclaimer,≤100,1
Diverse Eugene,Diverse Eugene,≤100,1
A Safer Eugene & Lane Co. - Oregon,A Safer Eugene & Lane County,≤100,2
Lightman Law Firm LLC,Lightman Law Firm LLC,≤100,1
Rapid Resolution Therapy - Dr. Jon Connelly,The Institute for Rapid Resolution Therapy,≤100,1
Point Loma Nazarene University,Point Loma Nazarene University,≤100,2
Roth Supply Company,Roth Supply Company,≤100,1
Bioneers,Bioneers,≤100,3
New Era Colorado,New Era Colorado,≤100,4
Print More Spend Less,"Print More, Spend Less",≤100,1
Metro Puerto Rico,Metro Puerto Rico,≤100,2
Allan Fung,The Committee for Allan Fung,≤100,1
Women's March Minnesota,Women's March Minnesota,≤100,3
83 Degrees,These ads ran without a disclaimer,≤100,1
Cincinnati Men's Chorus,Cincinnati Men's Chorus,≤100,1
Santa Barbara Alliance for Community Transformation,the SB Alliance for Community Transformation,≤100,1
MixTone,These ads ran without a disclaimer,≤100,3
Ron Bateman Books,"Committee to Elect Ron Bateman, Judy Bisesi, Treasurer",≤100,1
Adirondack Mountain Club,Adirondack Mountain Club,≤100,1
Zahra Karinshak,"Friends of Zahra S. Karinshak, Inc.",≤100,12
A&R Solar,A&R Solar,≤100,2
Life Network,Life Network,≤100,1
A Closer Look,Miichael Fredenburg as an individual citizen,≤100,4
Angel Wings of SW Florida,"Angel Wings of SW Florida, Inc.",≤100,1
Mike Lawrence For Mayor of Lawrenceburg,Mike Lawrence,≤100,1
The Giving Plate Community Food Relief Outreach,"The Giving Plate, Inc.",≤100,6
James For OKC,James For OKC 2019,≤100,3
Lane County Chronicle,Public Interest Communications Association - PICA,≤100,1
Conduit for Action,Conduit For Action,≤100,1
Faces of UGM Dallas,These ads ran without a disclaimer,≤100,2
Fort Construction,Fort Construction,≤100,2
Ashburn Life,Ashburn Life,≤100,2
Clearing out the Clutter,Clearing out the Clutter.  The views expressed are those of the author only.,≤100,7
The Neofusionist Book Review,The Neofusionist Book Review,≤100,1
LogOX,These ads ran without a disclaimer,≤100,2
Escape Room Herndon,These ads ran without a disclaimer,≤100,1
Projekt Ark,Projekt Ark,≤100,7
The Elephant Project,The Elephant Project,≤100,1
Chris Brown (NJ),Friends of Chris Brown,≤100,2
Benyaro,BENYARO,≤100,3
Delegate Charniele Herring,Friends of Charniele Herring,≤100,1
Brooklyn Buzz,Committee to Elect Christopher Legree,≤100,1
PA-IPL,Pennsylvania Interfaith Power & Light,≤100,1
Teamsters Local 299 Detroit,Teamsters local 299,≤100,2
Tara Campbell,Tara Campbell for City Council FPPC #1383349,≤100,4
Turn PA Blue,Turn PA Blue,≤100,2
WTBN AM 570 & 910,Salem Media Group Tampa Sarasota,≤100,1
Weird Nature,Ranker,≤100,9
Better Business Bureau | Arkansas,Better Business Bureau serving Arkansas,≤100,3
Give America Hope,Give America Hope,≤100,4
Bryan About Town,Bryan Starrette,≤100,2
Alderman Brian Hopkins,Hopkins for Chicago,≤100,1
Trump Rules,Trump Rules,≤100,1
Maju Superfoods,These ads ran without a disclaimer,≤100,2
Daniel Nguyen for Lake Oswego City Council,Friends of Daniel Nguyen Committee for City Council,≤100,2
Raye Zaragoza,Raye Zaragoza,≤100,1
K9s United,Debbie Johnson,≤100,2
City Creek Center,These ads ran without a disclaimer,≤100,2
GraniteGrok,Skip Murphy and Steve Mac Donald as GraniteGrok.com,≤100,1
Connect Vets,Connect Vets Non-Profit Corporation,≤100,1
"Jack Miller, Down to Business",Jack Miller Down to Business,≤100,2
United Way of Northern Utah,United Way of Northern Utah,≤100,1
David & Sons 322 BBQ,These ads ran without a disclaimer,≤100,1
Awesome Apparel,These ads ran without a disclaimer,≤100,2
The Fight For Justice - Time For A Change,These ads ran without a disclaimer,≤100,3
Ryan Ray for Texas House District 96,The Ryan Ray Campaign,≤100,1
Hygeia Analytics,Hygeia Analytics,≤100,2
Liz Wahl,Liz Wahl,≤100,2
Sustainable Food Center,Sustainable Food Center,≤100,1
Miami Waterkeeper,Miami Waterkeeper,≤100,1
Dwayne Martin for Mayor,Dwayne Martin For Mayor,≤100,5
The Tank,The Tank,≤100,2
Gulf Coast Water Authority - GCWA,Gulf Coast Water Authority,≤100,2
Environmental Integrity Project,The Environmental Integrity Project,≤100,1
Councilman Anand Shah,Friends of Anand Shah,≤100,7
Torah Jewry,Yosef Rosenberg,≤100,1
National Association for Gun Rights,National Association for Gun Rights,≤100,1
Empower Engine,Empower Engine,≤100,1
Mickell Lowery for County Commission District 8,Friends of Mickell Lowery,≤100,1
Law Offices Of Rob McKinney Nashville DUI and Criminal Defense Lawyer,These ads ran without a disclaimer,≤100,1
Interact for Health,Interact for Health,≤100,2
Advocate My Meds,Advocate My Meds,≤100,1
National Wounded Warrior Center,National Wounded Warrior Project a Disabled Sports Eastern Sierra Initiative,≤100,2
San Diego Sailing Tours,Seas Lyfe on behalf of San Diego Sailing Tours,≤100,2
Oklahoma Sierra Club,Oklahoma Sierra Club,≤100,1
inmotionmagazine.com,"NPC Productions, publisher of In Motion Magazine",≤100,1
Mighty Oaks Warrior Programs,Mighty Oaks Foundation,≤100,2
The Des Moines Chapter of the Izaak Walton League,Bud Hartley,≤100,2
The Nurse Collective,The Nurse Collective,≤100,1
The Valori Group,Louis Valori,≤100,4
Michael R. Milani for Village of Orland Park Trustee,Citizens for Michael R. Milani,≤100,1
Hancock County Libertarian Party,Michael Fitch,≤100,1
Higher Paying Driver Jobs,These ads ran without a disclaimer,≤100,1
25to45,Daniel Woestman,≤100,1
Representative Shevrin Jones,"Shevrin Jones, Democrat for Florida House, District 101",≤100,1
Century City - Westwood News,Mirror Media Group,≤100,1
Dan Militello - Candidate for Lombard Village Trustee D5,Friends of Militello,≤100,1
Coastside Buzz,Coastside Buzz,≤100,4
Alaska Health and Social Services,These ads ran without a disclaimer,≤100,1
Berkeley Heights Republicans,Berkeley Heights Republicans,≤100,2
Stony Brook University Alumni Association,Stony Brook Foundation,≤100,1
Abogado Javier Marcos / Attorney Javier Marcos,These ads ran without a disclaimer,≤100,1
Ridgenet Network Group,Ridgenet Network Group,≤100,2
Asia Pacific Cultural Center,Asia Pacific Cultural Center,≤100,2
Vito Glazers,Vito Glazers,≤100,2
Maine Coast Fishermen's Association,Maine Coast Fishermen's Association,≤100,1
The Fortune Society,The Fortune Society,≤100,5
Kingtee.com,These ads ran without a disclaimer,≤100,2
Concerned Citizens Of America,Concerned Citizens Of America,≤100,2
FloridaPolitics,Florida Politics.,≤100,2
Annie E. Casey Foundation,These ads ran without a disclaimer,≤100,3
"Nick Hellyar for Houston City Council, District C","Nick Hellyar for Houston City Council, District C - David Arpin, Treasurer",≤100,5
The Nabi Effect,The Nabi Effect,≤100,2
Bees In The D,Bees in the D,≤100,3
Donnyteerump,These ads ran without a disclaimer,≤100,1
"Physicians, Families & Friends For A Better Vermont","Physicians, Families & Friends for a Better Vermont",≤100,1
United Way TJA,United Way Thomas Jefferson Area,≤100,3
Adam Aasen for Carmel City Council,Committee to Elect Adam Aasen,≤100,1
The Molina Law Group PLLC,The Molina Law Group,≤100,1
Topher Morrison for Mayor,"Topher Morrison, Non Partisan for Mayor of Tampa.”",≤100,1
Jonathan O. Barbee,"Jonathan Barbee -One Perimeter Park S, Suite 100N - Birmingham, AL",≤100,2
Soundbar Lexington,Small Plates LLC DBA Soundbar Lexington,≤100,1
Oklahoma Turnpike Authority,Oklahoma Turnpike Authority,≤100,1
Food Bank of Northeast Louisiana,The Food Bank of Northeast Louisiana,≤100,2
