Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Solviva Tribal  Rugs,solviva,≤100,13
Higher Paying Driver Jobs,These ads ran without a disclaimer,≤100,2
Californians Against Waste,Californians Against Waste,≤100,1
Kirk Lepine for Parish President,The Kirk Lepine Campaign Fund,≤100,1
State Representative Shawn Thierry,State Representative Shawn Thierry,≤100,4
Santa Fe Dreamers Project,Santa Fe Dreamers Project,≤100,2
Nathan Wilson for Georgia House 14,Nathan Wilson For House 14 committee,≤100,3
West Valley Citizens for Better Schools,West Valley Citizens for Better Schools,≤100,2
"Jeremy Hidalgo - School Board Member, District 9",Jeremy Hidalgo,≤100,1
Heading Home NM,Heading Home NM,≤100,2
Keith Greene,Keith Greene,≤100,5
Minnesota Young Republicans,MInnesota Young Republicans,≤100,2
La Plata County Democrats,La Plata County Democratic Party,≤100,1
Lester Miller for Mayor,Lester Miller for Mayor,≤100,1
Hinz For Crete City Council,"Ryan Hinz, 640 Main Ave., Crete, NE 68333",≤100,1
SEIU Local 105,SEIU Local 105,≤100,1
Northern California Record,The Record,≤100,2
American Senior Alliance,American Senior Alliance,≤100,1
"Donald's Terrible, No Good Christmas",Sean Bulger,≤100,4
Stop Wildlife Killing Contests - AZ,Stop Wildlife Killing Contests AZ,≤100,1
Dane Dillion for Randolph County Sheriff,Dane Dillion.,≤100,2
"Celina Vasquez for Justice of the Peace, Pct. 4",Friends of Celina Vasquez for Justice of the Peace,≤100,3
Education Matters,Education Matters,≤100,1
Forgotten Children Worldwide,Forgotten Children Worldwide,≤100,2
Ho'ola Na Pua,Ho'ola Na Pua,≤100,1
Polls.Vote,DotVote. Not authorized by any candidate or candidates committee or any political organization. Just polls to keep you informed and get the DotVote name out.,≤100,1
"UpClose with Peter Sage, political insights and commentary","Peter Sage, the author of UpClose with Peter Sage, 305 Harvard Place, Medford, Oregon 97504. Contact me at peter.w.sage@gmail.com",≤100,1
Will Dixon Real Estate,Will Dixon Real Estate,≤100,2
PASA Primates: Pan African Sanctuary Alliance,PASA (Pan African Sanctuary Alliance),≤100,75
Friends of Nevada Wilderness,Friends of Nevada Wilderness,≤100,1
The Black Women's PAC,The Black Women's PAC,≤100,1
Lakeland First,Lakeland First,≤100,1
Partnership for Safety and Justice,Partnership for Safety and Justice,≤100,1
Mayor Gregory A Carswell of Waynesboro,Mayor Greg Carswell,≤100,1
Robert S. Torres,Robert Torres for City Council,≤100,2
Feed the Children,These ads ran without a disclaimer,≤100,9
Feminists Choosing Life of New York,Feminists Choosing Life of New York,≤100,1
Charles Payne W Street,Charles Payne W Street,≤100,1
"Something has to change, and NOW",Chris Grisolia,≤100,3
Yolo County Progressives,Harpreet Chima,≤100,1
Charm City,Charm City,≤100,1
Women's Media Center Live with Robin Morgan,Women's Media Center Live with Robin Morgan,≤100,1
Fund The Wall,American Border Foundation,≤100,1
Mike Lawrence For Mayor of Lawrenceburg,Mike Lawrence,≤100,1
Rafael Tatito Hernandez,Rafael Tatito Hernandez,≤100,3
Toyota of Irving,Toyota of Irving,≤100,1
Contrariana,Contrariana,≤100,1
Everett Roy for City Council District 1,MCS Campaign Ads,≤100,1
Genesee County Board of Commissioners,Genesee County Board of Commissioners,≤100,1
Concerned Citizens for Nuclear Safety (CCNS),Concerned Citizens For Nuclear Safety,≤100,2
Movement for a People's Party,MPP,≤100,2
L. Everett & Associates,"L. Everett & Associates, environmental scientists and engineers",≤100,1
Itrek,itrek,≤100,10
imge,IMGE,≤100,20
American Heart Association - Nebraska,American Heart Association,≤100,1
Medico Professional Linen Service,Medico Professional Linen Service,≤100,2
Clam and Clasp,These ads ran without a disclaimer,≤100,1
AFT Massachusetts,AFT Massachusetts,≤100,3
Saving Africa from Lies that Kill,Kay Kiser from personal funds; not affiliated with any political or other organization,≤100,2
"O’Kehie & Associates, Attorneys and International Legal Consultants","Collins Okehie, a licensed professional Attorney at Law. This Ad is for outreach purposes only as well as to give general information & understanding about our services to the people of USA & does not pose specific legal obligation nor provide advice. By reading this Ad u understand that there is no attorney client relationship btw u & the coy/web publisher",≤100,4
Tennessee Riverkeeper,Tennessee Riverkeeper,≤100,1
GAGE Organics,"GAGE Organics, LLC",≤100,2
Herd Strategies,"Hed Strategies, LLC.",≤100,2
South Park Information And Resource Center,These ads ran without a disclaimer,≤100,1
Joshua Diamond for School Board,Joshua Moses Diamond,≤100,1
Niles Niemuth,Niles Niemuth for Congress 2018,≤100,1
Blue Sky Tiger Sanctuary,Blue Sky Tiger Sanctuary,≤100,2
Marc Falzon,Marc Falzon,≤100,4
Long Beach Democrats,The Long Beach Democratic Club,≤100,2
John Hamilton for Mayor,John Hamilton for Mayor,≤100,2
Jim Moustis Will County Board Speaker,Friends of County Board Chariman Jim Moustis,≤100,1
Maggie's List,"Maggie's List, a Political Action Committee",≤100,2
Allan Giberti,RI Red Radio,≤100,3
Brad Freeman for Sheriff,Brad Freeman for Sheriff,≤100,2
Texas Charter Schools Association,Texas Charter Schools Association,≤100,10
Deaf Bible Society,Deaf Bible Society,≤100,3
Atlanta Business Chronicle,These ads ran without a disclaimer,≤100,1
Adam 4 Fort Collins,Adam 4 Fort Collins and Adam Eggleston,≤100,1
Virginia Interfaith Center for Public Policy,Virginia Interfaith Center for Public Policy,≤100,1
Councilmember Helen Gym,Councilmember Helen Gym,≤100,2
Indecision 2020,Indecision America,≤100,1
Stephanie C. Martinez,News Quickies,≤100,2
Drugs.com,These ads ran without a disclaimer,≤100,1
LOLA Energy Resources,These ads ran without a disclaimer,≤100,1
"William Deforest Thompson, Jr., LLC",These ads ran without a disclaimer,≤100,1
Spectrum News Central New York/ Northern NY,Spectrum News,≤100,1
Fairlane Town Center,Starwood Retail Partners,≤100,1
Philip Falcone for Riverside City Council - Ward 1,Philip Falcone for Riverside City Council FPPC# 1402303,≤100,2
Bill Holt's Dreamies,Bill Holt's Dreamies®,≤100,4
Latet- Israeli Humanitarian Aid,Latet,≤100,8
Carolina Business Review,Carolina Business Review,≤100,2
American Rivers,American Rivers,≤100,1
No Dogs Left Behind,No Dogs Left Behind,≤100,1
M4TR - Music 4 The Revolution,M4TR - Rock To Resist By,≤100,1
Finanza para  latinos,amed garces,≤100,1
Bradley M Bean for Fernandina Beach City Commission,Bradley M. Bean for City Commission,≤100,1
Hoosier Environmental Council,Hoosier Environmental Council,≤100,1
Danú Global,Danú Global,≤100,2
Gulfport-Biloxi International Airport,Gulfport-Biloxi International Airport,≤100,1
UsAgainstAlzheimer’s,UsAgainstAlzheimer's,≤100,11
Adobe After Effects,Adobe,≤100,1
Pittsburgh Lesbian Correspondents,SueCat Social Media,≤100,5
David Merlo 4 AOTA Board,David M. Merlo,≤100,3
Dolese Bros. Co.,Dolese Bros. Co.,≤100,1
Based Supply,XY Supply,≤100,4
David Parker for Senate,Friends of David Parker,≤100,1
Jake Zimmerman,"Citizens for Jake Zimmerman, Jason Wheeler, Treasurer",≤100,1
"The Alternative Programs, Inc.",The Alternative Program,≤100,1
Fenris Kennels,John Velten,≤100,5
Vince Juaristi,Vince Juaristi,≤100,3
Wild Sky,These ads ran without a disclaimer,≤100,2
Alliant Energy,Alliant Energy,≤100,1
University of Michigan School of Public Health,University of Michigan School of Public Health,≤100,1
ACLU of Nebraska,ACLU of Nebraska,≤100,1
National Philharmonic,These ads ran without a disclaimer,≤100,1
Green Ridge Solar,These ads ran without a disclaimer,≤100,8
Bushra Amiwala,Amiwala for Cook County Board,≤100,3
Stop the Gross Dam Expansion Coalition - Lead by TEG,donations to the Stop Gross Reservoir Expansion campaign,≤100,1
Positively Osceola,Elijah Web Solutions powering Positively Osceola,≤100,2
Y & T Insurance,Y & T INSURANCE,≤100,1
Fix 5 Now,Identity Clark County,≤100,1
"Lacroix Ramos, Attorneys at Law, LLP","Lacroix Ramos, Attorneys at Law, LLP",≤100,1
Black Rose / Rosa Negra - Anarchist Federation,Black Rose / Rosa Negra (BRRN),≤100,2
Watson CPA Group,These ads ran without a disclaimer,≤100,1
Troverie,These ads ran without a disclaimer,≤100,2
Assemblyman Jim Patterson,Jim Patterson,≤100,2
West Central Minnesota Ducks Unlimited,Ducks Unlimited,≤100,1
Brian Strickland for Georgia,Strickland for Georgia,≤100,6
Pennsylvania Record,The Record,≤100,2
Melanie Stansbury for NM,"Melanie for NM, Donna Lockner, Treasurer.",≤100,1
Lance Gooden,Lance Gooden for Congress Committee,≤100,1
Threshold to New Life,"Richard Bahr, co-founder of Threshold to New Life",≤100,1
Meet Me at the Well Foundation,Meet me at the Well,≤100,1
Wells Brothers,These ads ran without a disclaimer,≤100,1
Chris Brown (NJ),Friends of Chris Brown,≤100,3
Parish News,Face Media Group,≤100,6
Florida Blue,These ads ran without a disclaimer,≤100,1
Fellowship Square-Mesa,Fellowship Square-Mesa. Saying thank you is not intended to be Politial it is intended to be civil. Saying thank is not an endorsement of any political party. This post is not paid for by any political party it is paid for by Fellowship Square-Mesa.,≤100,2
90.9 KCBI FM,"First Dallas Media, INC",≤100,2
Clean Green Baltimore County,Baltimore County Government,≤100,1
National Organization for Women (NOW) - Houston Area,National Organization for Women - Houston Area,≤100,1
FFL,Future Female Leaders,≤100,1
"Walker, Billingsley & Bair","Walker, Billingsley & Bair",≤100,7
Patriot Rights,Bruce Clancy,≤100,2
Columbia Bank,These ads ran without a disclaimer,≤100,1
Surfrider Foundation San Diego,Surfrider Foundation San Diego County,≤100,1
League of Women Voters - Fairfax Area,League of Women Voters of the Fairfax Area,≤100,1
Veterans Benefit Group of Goodman Allen Donnelly,Veterans Benefit Group of Goodman Allen Donnelly,≤100,2
Colorado Chamber of Commerce,"the Colorado Chamber of Commerce, a registered trade name of the Colorado Association of Commerce and Industry",≤100,1
Women's March Florida- Broward Chapter,Women's March Broward,≤100,1
Technidigm,"Charles R Jones, Author of ""On-the-Level: Common Sense, Technically Speaking,"" a 12 element approach to solving difficult issues in our modern, complex world.",≤100,1
Sheriff-Elect Mark Pettway,The Committee to Elect Mark Pettway,≤100,4
The Ossining Documentary & Discussion Series,The Ossining Documentary and Discussion Series,≤100,1
"Jason Binder, Alpharetta City Council",Jason Binder for Alpharetta,≤100,1
Victoria McBride for School Board,Committee to Elect Victoria McBride (2019),≤100,3
The American Alpine Club,These ads ran without a disclaimer,≤100,1
Cambodia-America Alliance,Cambodia-America Alliance,≤100,1
Dream Centers,Dream Centers,≤100,2
AARP Montana,AARP Montana,≤100,1
Colion Noir,Colion Noir,≤100,1
Fire It Up Kansas,Mike Golden,≤100,2
DRC Solutions,DRC Solutions to End Homelessness,≤100,1
Alaska Afterschool Network,Alaska Children's Trust,≤100,1
Voices Of Variety,Voices Of Variety,≤100,1
A Safer Eugene & Lane Co. - Oregon,A Safer Eugene & Lane County,≤100,2
From The Ground Up,"Charles A. Gargano Consulting, LLC",≤100,3
America's Navy,America's Navy,≤100,2
Kind to Kids Foundation,Kind to Kids Foundation,≤100,3
"Roberts Wilson, P.A. Injury Lawyers",Roberts Wilson,≤100,1
Seattle Arts & Lectures,Seattle Arts & Lectures,≤100,2
AWACS Apparel,These ads ran without a disclaimer,≤100,1
Susan Baker Ross for Judge,Susan Baker Ross for Judge,≤100,1
Jannquell Peters,Jannquell Peters,≤100,1
Give America Hope,Give America Hope,≤100,6
Monica Brown,These ads ran without a disclaimer,≤100,1
PreciousOwl,These ads ran without a disclaimer,≤100,4
Peg Perl for Denver Clerk,Perl for Denver,≤100,1
Natural Resources Council of Maine,Natural Resources Council of Maine,≤100,1
Neil Ruddy,Neil Ruddy,≤100,1
Law Office of Justin D. Sweeney - Immigration & Bankruptcy,JUSTIN D SWEENEY,≤100,1
Communities Creating Opportunity (CCO),Communities Creating Opportunity,≤100,1
Gongwer News Service Michigan,"Gongwer News Service, the leading nonpartisan, independent source for news and information on state government and politics.",≤100,3
Princess Tea Party FW,These ads ran without a disclaimer,≤100,1
Intentionalist,Intentionalist,≤100,4
Yale School of Management,Yale School of Management,≤100,1
BnR Deals,BnR Deals,≤100,5
The Alaska Center,"The Alaska Center, 921 W 6th Avenue, Suite 200, Anchorage, Alaska 99501. Susan Klein, Chair. The top contributors to The Alaska Center (Anchorage, AK) are Sixteen Thirty Fund (Washington, DC), League of Conservation Voters (Washington, DC), Clay Frick (Haines, AK). This notice to voters is required by Alaska law: We certify that this literature is not author",≤100,3
Rep. Frank Burns,PA House Democratic Caucus,≤100,3
Debt Cleanse,DebtCleanse,≤100,1
The Decline and Fall of America Starring Jim Greenfield,"Marathon Productions, LLC",≤100,2
Detroit Regional Chamber,the Detroit Regional Chamber,≤100,1
Insurance4Dallas,Insurance4Dallas,≤100,2
Chris Baecker,Chris Baecker,≤100,2
Perry County Conservative Newsletter,Perry Count Conservative Newsletter,≤100,6
Americans for Prosperity - Pennsylvania,Americans for Prosperity,≤100,1
National Retiree Legislative Network,NRLN,≤100,1
Cascadia Progressive Forum,Cascadia Progressive Forum,≤100,2
Dave Sutliff-Atias for City Council,Dave for Change,≤100,2
Jerry Taylor,The Niskanen Center,≤100,1
My Chosen Vessels - MCV,My Chosen Vessels,≤100,1
The Political Fire,Nicole James,≤100,1
storetite,Storetite,≤100,3
Colorado Carbon Fund,Colorado Carbon Fund,≤100,1
EV Drive Coalition,EV Drive Coalition,≤100,1
State Representative Margo McDermed,Margo McDermed,≤100,1
The Trump Survival Guide,Gene Stone,≤100,1
Liz Snyder for State House,Snyder for AK House,≤100,1
Cargill,Cargill,≤100,3
Laura Jane for FCPS,Laura Jane Cohen for School Board,≤100,2
Tony Baker for GRPS - Again,Committee to elect Tony Baker,≤100,2
Free Solar Home Designs,Free Solar Designs,≤100,1
Partnership for Southern Equity,Partnership for Southern Equity,≤100,3
Doctor Alex Abogado,Las Oficinas de leyes del abogado Alexander Cross,≤100,10
Women Unite Women,The CoCreator,≤100,1
Knitting Torch,These ads ran without a disclaimer,≤100,1
Arkansas Advocates for Parental Equality,Arkansas Advocates for Parental Equality,≤100,1
Dream Stream Company,Dream Stream Company,≤100,1
Alabama Today,Alabama Today.,≤100,3
Robbie Conal : Not Your Typical Political Animal,RobbieConalArt,≤100,1
Coalition for a Prosperous America,Coalition for a Prosperous America,≤100,1
Lawrence "Larry" Wainstein,The Good Government Team,≤100,1
Wayne Hill,Wayne Hill of Trinity Insights Publication,≤100,5
Bill Lowry for Cook County Commissioner 3rd District,Friends of Bill Lowry,≤100,1
"Patriots Hope, Inc","Patriots Hope, Inc",≤100,1
Guilford College,These ads ran without a disclaimer,≤100,3
National Council of Jewish Women (NCJW),National Council of Jewish Women,≤100,1
Council of School Supervisors & Administrators,Council of School Supervisors and Administrators,≤100,1
John Mack Newtown Supervisor,John Mack,≤100,2
The Conservative Urbanite,The Conservative Urbanite - Traditional Middle-America Values Meets Metro City Common Sense,≤100,2
TrendyTees,TrendyTees,≤100,3
Wyoming Migration Initiative,Wyoming Migration Initiative,≤100,2
Neighborhood Sun,These ads ran without a disclaimer,≤100,1
Kelloms for Haskell Mayor,Kelloms for Haskell Mayor,≤100,2
Stop Crime SF,Stop Crime SF,≤100,1
E2 - Environmental Entrepreneurs,E2 (Environmental Entrepreneurs),≤100,1
Rose Wilson McCulloch for District A,People for Rose Wilson,≤100,1
Commonwealth Foundation,The Commonwealth Foundation,≤100,1
Conservative Techie,Conservative Techie,≤100,1
Flower Turbines,These ads ran without a disclaimer,≤100,3
"Kydex Concealments, LLC","Kydex Concealments, LLC",≤100,1
Flying Lessons: What the Birds are Teaching Us,Anders Gyllenhaal,≤100,2
Charlie Gerow,Charlie Gerow.,≤100,3
Ray Madrigal - Lemoore City Council,Ray Madrigal for City Council,≤100,1
Green Ribbons for the F35,Green Ribbons for the F35,≤100,1
City of San Angelo Texas - Public Information,City of San Angelo,≤100,1
Snowy Owl Coffee Roasters,Snowy Owl Coffee Roasters,≤100,1
Chris Switzer for Vigo County Council,The Committee to Elect Chris Switzer for Vigo County Council District 2,≤100,1
Point Of The Mountain Politics,Point of the Mountain Politics,≤100,2
Gateway Democrats,Gateway Democrats (affiliated with the St. Louis County Central Committee),≤100,1
Friends of Big Ivy,Friends of Big Ivy,≤100,1
Fair Districts PA - Butler County,Fair Districts PA,≤100,2
Christian Aid Mission,These ads ran without a disclaimer,≤100,12
Women Unite Women,Women Unite Women,≤100,1
Community Action Partnership of Orange County,"Community Action Partnership of Orange County, a 501(c)3",≤100,1
CAPP USA,Centesimus Annus Pro Pontifice - CAPP USA,≤100,2
Citizens Alliance of Pennsylvania,Citizens Alliance of Pennsylvania,≤100,1
Food Bank of Central & Eastern North Carolina,Food Bank of Central & Eastern North Carolina,≤100,2
Friends to Elect Shelly Quiles,Shelly Quiles,≤100,3
Resilience Gives,Resilience Gives,≤100,6
Coalition for Humane Immigrant Rights,Coalition for Humane Immigrant Rights,≤100,1
Women's March LA Foundation,Women's March LA,≤100,3
Sadowski for Chancery Clerk,Friends and Family of Debra Sadowski,≤100,1
Brazos Press,Brazos Press,≤100,2
Alaska Children's Trust,Alaska Children's Trust,≤100,1
Eric Stamps,Eric Stamps For Virginia,≤100,1
National Secure Storage,National Secure Storage LLC,≤100,1
Tom Brandt for Legislature,Tom Brandt for Legislature,≤100,1
Reddfox Digital Marketing Design and Development,These ads ran without a disclaimer,≤100,1
Judge Baker Children's Center,Judge Baker Children's Center,≤100,1
Michael Greene- Syracuse Councilor at Large,Greene For Syracuse,≤100,1
AFSCME Council 31,AFSCME Council 31,≤100,1
Ohio Women's Watch,Ohio Women's Watch,≤100,1
Solar Rights Alliance,Solar Rights Alliance,≤100,2
Dave Rosenberg,Friends of Dave Rosenberg,≤100,1
Edgar County Watchdogs,"Edgar County Watchdogs, Inc.",≤100,1
Riverkeeper,Riverkeeper,≤100,1
Yamhill County Awareness,Yamhill County Awareness,≤100,2
Uprise RI,"Steve Ahlquist, writer/editor of UpriseRI",≤100,2
La Verne Proud,Gary Lawson,≤100,2
Public Discourse,Public Discourse,≤100,1
Alexis Cuadrado,These ads ran without a disclaimer,≤100,1
John P. Mayhugh Foundation,the John P Mayhugh Foundation,≤100,1
Doctors of the World USA,Doctors of the World USA,≤100,1
DeSmogBlog,DeSmog,≤100,1
Ryan Skoog,Ryan Skoog,≤100,1
Soma Massage Therapy,Amber Briggle,≤100,2
Kimberly Ellis,Kimberly Ellis,≤100,1
Bluepillsheep.com,Dorothy Mezzapesa,≤100,1
Treatment Advocacy Center,The Treatment Advocacy Center,≤100,1
Oklahoma Policy Institute,Oklahoma Policy Institute,≤100,1
My Health Quest,These ads ran without a disclaimer,≤100,1
JCRC of San Francisco,"Jewish Community Relations Council of San Francisco, the Peninsula, Marin, Sonoma, Alameda and Contra Costa Counties",≤100,1
TomHalvorson,"Tom Halvorson, Sidney, Montana",≤100,1
New York State AFL-CIO,New York State AFL-CIO,≤100,1
Nazeera LLC,Nazeera LLC,≤100,2
Stump City Wicked Good Cider,Doug Lachane,≤100,1
Practically Political,Practically Republican,≤100,1
Scott Taylor,Scott Taylor for US Congress,≤100,1
Live Springdale,Amelia Taldo-Williams Campaign,≤100,1
Liberate Laguna PAC,Liberate Laguna and Liberate Laguna PAC. PAC FPPC # 1405838.,≤100,1
Eddie Zipperer,Eddie Zipperer,≤100,2
Montana Beyond Coal Campaign,These ads ran without a disclaimer,≤100,1
KC TIF Watch,Coalition for Kansas City Economic Development Reform,≤100,1
Area Substance Abuse Council - ASAC,the Area Substance Abuse Council,≤100,1
Pennsylvania District Attorneys Association,Pennsylvania District Attorneys Association,≤100,2
Covering Wisconsin - CWI,Covering Wisconsin,≤100,1
Senior Connection Center,Senior Connection Center,≤100,1
From Fire,From Fire,≤100,1
KWTV - NEWS 9,KWTV News 9,≤100,1
The Fifty/50 Restaurant Group,These ads ran without a disclaimer,≤100,1
Tanya Cabala for State Representative,Voters for Tanya Cabala for State Representative,≤100,1
Having Kids,"Having Kids, Inc.",≤100,1
Councilman Anand Shah,Friends of Anand Shah,≤100,8
"Heck Off, Commie","Heck Off, Commie!",≤100,1
Bookmad Bookshelf,These ads ran without a disclaimer,≤100,1
"Councilwoman Germaine Simpson, Ward 2, City of Eunice",the campaign to elect Germaine Simpson,≤100,2
Steve Ledbetter for Gosnell,Steve Ledbetter,≤100,1
Yellowhammer Fund,Yellowhammer Fund,≤100,3
Investigate 538,Kevin Drummond,≤100,2
The Brazen Project,The Brazen Project,≤100,1
"David Ormsby, Inc.","David Ormsby, Inc.",≤100,2
Living Future Institute,International Living Future Institute,≤100,1
No More Freeways PDX,No More Freeways PDX,≤100,1
DuPage Libertarians,DuPage Libertarians,≤100,5
Ron Molinaro for Mayor of Zion Illinois,Friends of Ron Molinaro,≤100,1
ONE Community,ONE Community,≤100,1
America's Future Foundation,America's Future Foundation,≤100,1
Latebram,Latebram,≤100,15
Tameka Gaines Holly for City Council District 8,Tameka Gaines Holly for City Council District 8,≤100,1
Washington Business Journal,These ads ran without a disclaimer,≤100,1
Cape Henlopen Educational Foundation,These ads ran without a disclaimer,≤100,1
Paul's Bookkeeping & Tax Service,"Paul's Bookkeeping and Tax Service, Amarillo Texas",≤100,1
Liyah Babayan The People First,Babayan,≤100,2
Councilman Manny Pelaez,Manny Pelaez,≤100,2
Kratom Trade Association,Kratom Trade Association,≤100,1
Goodwill Dallas,Goodwill Industries of Dallas,≤100,2
Goodwill of Southwestern Pennsylvania,Goodwill of Southwestern Pennsylvania,≤100,1
Progressive Rags,Progressive Rags,≤100,2
Secure Medicare Solutions,Secure Medicare Solutions,≤100,2
The Party for Socialism and Liberation Chicago,John Beacham,≤100,1
Jim Ward,Jim Ward,≤100,1
Trans Plus,Friends of Trans Plus,≤100,1
Voices of Images,These ads ran without a disclaimer,≤100,1
EUROPEAN SLEEP DESIGN,European Sleep Design,≤100,2
The Refugee Center Online,The Refugee Center Online,≤100,1
David Nay Morrisville Borough Council 2nd Ward Representative,Dave Nay,≤100,3
Rush System for Health,Rush System for Health,≤100,1
Boredwalk,Boredwalk,≤100,1
LaTonsha "LT" Pridgen 4 Coles Board Supervisor,LaTonsha "LT" Pridgen for Coles Supervisor Campaign Committee,≤100,1
Make HIM Great,Spiritual Endeavors LLC,≤100,4
Brent Beal's Politics Page,Nacogdoches County Democratic Party,≤100,1
Better Eating International,Better Eating International,≤100,1
Councilwoman Sarah F. Lacey,"Friends to Elect Sarah Lacey, Jacqueline A. Brooks, treas.",≤100,1
Sustainable Breakthroughs,Sustainable Breakthroughs,≤100,3
Shelter Our Pets,Shelter Our Pets,≤100,1
Carlos Hernandez,Mayor Carlos Hernandez,≤100,1
Our Children's Earth,Our Children's Earth Foundation,≤100,1
Northeast Knee & Joint Institute,Northeast Knee & Joint Institute,≤100,1
Close the Gap Idaho,Close the Gap Idaho,≤100,1
AARP Ohio,AARP Ohio,≤100,1
SIS Research,"the School of International Service, American University",≤100,1
Seattle Against Slavery,Seattle Against Slavery,≤100,1
Citizen Ed,Citizen Education,≤100,1
jlindsay,me,≤100,1
Grizzly Times,These ads ran without a disclaimer,≤100,1
Patricia Morgan,Elect Patricia Morgan,≤100,2
Michigan League for Public Policy,Michigan League for Public Policy,≤100,2
Buffalo Solar Solutions Inc.,Buffalo Solar Solutions Inc.,≤100,1
"Adam Steiner, Framingham City Councilor",Adam Steiner,≤100,1
Central Florida Regional Planning Council,Central Florida Regional Planning Council,≤100,1
The Virginia Connection,Tony Ares,≤100,1
Sheehan,Marianne Sheehan,≤100,2
What Nunn Sense,James Jeffrey Nunn,≤100,5
"Family Health & Wellness Center, P.C.","Family Health & Wellness Center, P.C.",≤100,1
Michele Lazarow Hallandale Beach City Commissioner,Vice Mayor Michele Lazarow,≤100,1
Sierra Club Pennsylvania Chapter,Sierra Club PA,≤100,2
Sentinel Politics,The Sentinel,≤100,1
Baker Precision Planter Works,Baker Precision Planter Works,≤100,1
CapitolTrack,CapitolTrack,≤100,1
Amarillo Matters,Amarillo Matters PAC,≤100,1
Farmer's Footprint,Farmer's Footprint,≤100,5
Right Now with Jim Daws,Right Now with Jim Daws,≤100,2
Women's Earth and Climate Action Network,Women's Earth and Climate Action Network (WECAN) International,≤100,2
Long Beach City Auditor,Long Beach City Auditor,≤100,2
Ripon College Center for Politics and the People,The Center for Politics and the People,≤100,1
LibertyManiacs.com,These ads ran without a disclaimer,≤100,1
City of Anderson Government,City of Anderson,≤100,4
Congressman Ed Perlmutter,The Office of Congressman Perlmutter,≤100,1
Sustainable Sippin’,Sustainable Sippin',≤100,39
Crime Prevention Research Center,John R Lott Jr,≤100,1
Altivation Aircraft Sales,Altivation Aircraft,≤100,1
Boise City Councilmember Lauren McLean,McLean for Boise,≤100,1
"U.S. Bagging, LLC",These ads ran without a disclaimer,≤100,1
Wilderness Workshop,Wilderness Workshop,≤100,2
A Revolutionary Act,A Revolutionary Act,≤100,1
Jeff Kirkpatrick for Mayor,Jeff Kirkpatrick for Mayor,≤100,5
Senator Chris Larson,State of Wisconsin,≤100,1
SCORE,"the State Collaborative on Reforming Education, a nonpartisan education advocacy nonprofit in Tennessee",≤100,1
Arlyn Bradshaw,Arlyn Bradshaw's Campaign,≤100,4
Weston Backcountry,Weston Snowboards,≤100,2
KidBright USA,"KidBright USA, Inc.",≤100,3
Michael Quinn Sullivan,Empower Texans,≤100,2
University of Puget Sound,University of Puget Sound,≤100,1
Idiocracy News Media,Concerned Citizen David Townsend,≤100,2
Cuba and Venezuela Solidarity Committee,These ads ran without a disclaimer,≤100,1
Save the Redwoods League,Save the Redwoods League,≤100,1
Democrats Need to Vote,Dave Palermo,≤100,2
Strafford County Republican Committee,Strafford County Republican Committee,≤100,1
International Leaders Summit,International Leaders Summit,≤100,7
Northern State University,Northern State University,≤100,1
Treva Hodges,Committee to Elect Treva Hodges,≤100,1
Danny Davis,Orvis,≤100,1
Fundacion Arco Iris - Bolivia,These ads ran without a disclaimer,≤100,1
What is Missing?,What Is Missing? Foundation,≤100,4
Thegluegunnshow,THE GLUE GUNN SHOW,≤100,1
Rockland Farm Alliance,Rockland Farm Alliance and Cropsey Community Farm,≤100,1
American Solar Power Solutions,American Solar Power Solutions,≤100,1
City of Stevens Point Government,City of Stevens Point Government,≤100,1
The Tilted Glass,The Tilted Glass,≤100,3
Confederacy of Drones,Confederacy of Drones,≤100,1
Operation Kindness,Operation Kindness,≤100,1
"Megan Ellyia Green, for President of the Board of Aldermen","Megan Green for St. Louis, Danny Gladden Treasurer",≤100,2
Afterschool Alliance,"the Afterschool Alliance, a 501(c)3 nonprofit",≤100,1
Support the Residences at Hampshire,The Residences at Hampshire,≤100,1
Vereta Lee for District 2,Connie Bernard,≤100,2
Loudoun Career Fire Fighters Association - IAFF Local 3756,the Loudoun Career Firefighters Association,≤100,2
2life tribe,"The Word on Life. Our goal, as stated on our home page, is to encourage and inspire digging deeper into the Bible so to answer the controversial issues in the news and life, with solutions from the Bible. We do not represent any candidates or committees, we just look at and discuss the issues. We hope to Love God and neighbor to make it to Heaven.",≤100,1
Beth Llewellyn McLaughlin,Beth Llewellyn McLaughlin For Texas House 97 Campaign,≤100,1
University of Chicago Democrats,University of Chicago Democrats,≤100,1
Crescent Credit Union,These ads ran without a disclaimer,≤100,2
Search Conservative,Search Conservative,≤100,3
Roaming Millennial Uncensored,CRTV,≤100,2
The We Want Beto Unofficial Street Team 2020,The We Want Beto Unofficial Street Team 2020. Not affiliated with or endorsed by any candidate.,≤100,1
Shiloh Israel Children's Fund,Shiloh Israel Children's Fund,≤100,1
Coventry CT Republican Town Committee,"Coventry RTC, Robert Chipkin Treasurer",≤100,1
"City of Arlington, TX - City Hall","City of Arlington, TX",≤100,3
Fairway Independent Mortgage- Fishers,These ads ran without a disclaimer,≤100,2
47 ABC,These ads ran without a disclaimer,≤100,1
Commissioner Chris Hanks,Christopher Hanks,≤100,2
Straight Twist - Animal Welfare,Straight Twist,≤100,1
